,xPixel,yPixel,R,upLine,leftLine,depth,dip_x,dip_azimuth_x,ang_nxt,ang_prev,dist_nxt,dist_prev,cosHit_nxt,cosHit_prev,an_diff,ap_diff,hitNext,hitPrev,dip_y,dip_azimuth_y,err
0,22.5,240.5,7.4,2,0,1363.5,0.9545454545454546,171.35186320074226,115.974396,,43.382023,,1.077794,,55.37746744878913,,False,False,1.0,167.0,0.024177017781901435
1,61.5,259.5,7.4,2,2,1365.5,4.95,99.06279591292912,99.462326,295.9744,127.738014,43.382023,2.4281676,1.077794,0.39953013687556904,163.088400160976,False,False,4.9,101.0,0.010762244928171565
2,187.5,280.5,7.4,2,9,1367.5,19.8,16.064237175069575,259.11447,279.46234,105.90562,127.738014,2.0498,2.4281676,116.94976573952272,96.60189586647584,False,False,19.8,21.0,0.027420904582946864
3,83.5,300.5,7.0,2,3,1369.5,7.277777777777778,90.03622494912943,96.55255,79.11447,148.97314,105.90562,2.8406208,2.0498,6.5163263204018165,10.921753513582559,False,False,7.4,96.0,0.03313208361594759
4,231.5,317.5,8.0,3,12,1371.5,25.666666666666668,98.96543734077851,115.51388,276.55255,48.754486,148.97314,1.1319534,2.8406208,16.548440527873822,177.58711392875273,False,False,25.9,95.0,0.022030207448769563
5,275.5,338.5,8.4,3,16,1373.5,32.07142857142857,135.56590919230592,100.22217,295.5139,123.967735,48.754486,2.2870665,1.1319534,35.343741223555924,159.94797630574095,False,False,32.3,136.0,0.002411615598300424
6,397.5,360.5,7.1,3,25,1375.5,51.72727272727273,276.9748595615535,267.0047,280.22217,344.4706,123.967735,6.3911066,2.2870665,9.970159854522251,3.247308407196499,False,False,52.1,277.0,0.00013966910248055026
7,53.5,378.5,8.2,3,2,1377.5,4.15,294.22157300043614,222.27368,87.0047,29.732138,344.4706,0.95936793,6.3911066,71.94789135981114,152.7831267065951,False,False,4.2,293.0,0.006786516669089653
8,33.5,400.5,7.4,3,0,1379.5,1.9545454545454546,195.44821896334662,97.37854,42.27368,140.16063,29.732138,2.6462443,0.95936793,98.06967892428412,153.17453732272162,False,False,2.0,193.0,0.013601216463036773
9,172.5,418.5,7.4,4,8,1381.5,17.8125,329.31686208892654,251.00334,277.37854,64.513565,140.16063,1.3696766,2.6462443,78.31352041412185,51.93832204986404,False,False,17.7,335.0,0.03157298839485255
10,111.5,439.5,7.4,4,5,1383.5,10.411764705882353,323.96211636390336,188.97263,71.00336,19.235384,64.513565,0.99637413,1.3696766,134.9894906314815,107.04124056969039,False,False,10.5,326.0,0.01132157575609243
11,108.5,458.5,7.3,4,5,1385.5,10.058823529411764,196.3658153521691,256.7595,8.972626,87.32124,19.235384,1.7408261,0.99637413,60.39367561462777,172.6068103802528,False,False,10.3,201.0,0.02574547026572718
12,23.5,478.5,7.4,4,0,1387.5,1.0454545454545454,246.31830335106702,161.56505,76.75949,22.135944,87.32124,0.9647395,1.7408261,84.75325513329358,169.55881238427014,False,False,1.2,250.0,0.020453870271849913
