depth,xPixel,yPixel,R,leftLine,theta
1383.0,26,240.5,7.4,0,1.2380952380952381
1385.0,62,262.5,7.4,2,5.0
1385.0,24,264.5,7.4,0,1.0476190476190477
1387.0,190,283.5,7.4,9,20.0
1388.5,88,302.5,7.4,3,7.777777777777778
1390.5,234,323.5,7.4,13,26.0
1392.5,276,342.5,7.4,16,32.142857142857146
1394.5,402,362.5,7.4,26,52.5
1395.5,12,373.5,6.2,0,-0.09523809523809523
1396.0,54,380.5,7.4,2,4.2
1398.0,36,399.5,7.4,1,2.2222222222222223
1400.0,172,421.5,7.4,8,17.75
1400.0,26,421.5,7.4,0,1.2380952380952381
1402.0,116,441.5,7.4,5,10.941176470588236
1404.0,112,462.5,7.4,5,10.470588235294118
1405.5,28,480.5,7.4,0,1.4285714285714286
1407.5,32,501.5,7.4,0,1.8095238095238095
1407.5,56,500.5,7.4,2,4.4
1409.5,48,519.5,7.4,1,3.5555555555555554
1413.5,40,562.5,7.4,1,2.6666666666666665
1415.0,68,580.5,7.4,2,5.6
1417.0,82,600.5,7.4,3,7.111111111111111
1419.0,266,623.5,6.2,15,30.615384615384617
1421.0,142,642.5,7.4,7,14.0
1422.0,68,655.5,6.0,2,5.6
1423.0,42,663.5,7.4,1,2.888888888888889
1424.5,60,682.5,7.4,2,4.8
1425.5,94,691.5,7.4,4,8.444444444444445
1427.0,76,708.5,6.0,3,6.444444444444445
1428.5,42,721.5,7.4,1,2.888888888888889
1430.5,388,744.5,7.4,25,50.0
1434.5,14,785.5,5.5,0,0.09523809523809523
1436.0,82,800.5,7.4,3,7.111111111111111
1438.5,50,826.5,7.4,1,3.7777777777777777
1440.0,38,844.5,7.4,1,2.4444444444444446
1442.5,102,870.5,6.2,4,9.333333333333334
1444.0,142,884.5,7.4,7,14.0
1444.0,120,886.5,7.4,5,11.411764705882353
1446.0,24,905.5,7.4,0,1.0476190476190477
1447.5,36,924.5,7.4,1,2.2222222222222223
1450.0,30,946.5,7.4,0,1.619047619047619
1451.5,22,966.5,7.4,0,0.8571428571428571
1453.5,22,988.5,7.4,0,0.8571428571428571
1455.5,32,1007.5,7.4,0,1.8095238095238095
1457.5,32,1029.5,7.4,0,1.8095238095238095
1459.5,64,1048.5,7.4,2,5.2
